"Date: 2024-05-22+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"Microsoft To Do","提醒事项","新合并任务 [提醒事项.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92%E4%BA%8B%E9%A1%B9.md)","TEXT","ticktick","","N","","","","","0","2","2023-06-09T17:52:21+0000","2024-05-22T03:29:09+0000","3848559132672","America/Los_Angeles","true","false",,,"list","1",""
"Microsoft To Do","提醒","交房租 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2022-06-28T07:00:00+0000","2022-06-28T07:00:00+0000","P0DT9H0M0S","","0","2","2022-05-22T21:34:08+0000","2024-05-22T03:29:07+0000","1","America/Los_Angeles","true","false",,,"list","2",""
"Microsoft To Do","提醒","交房租 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2022-09-28T07:00:00+0000","2022-09-28T07:00:00+0000","P0DT9H0M0S","","0","2","2022-05-22T21:34:08+0000","2024-05-22T03:29:07+0000","549755813888","America/Los_Angeles","true","false",,,"list","3",""
"Microsoft To Do","提醒","交房租 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2022-10-28T07:00:00+0000","2022-10-28T07:00:00+0000","P0DT9H0M0S","","0","2","2022-05-22T21:34:08+0000","2024-05-22T03:29:07+0000","1099511627776","America/Los_Angeles","true","false",,,"list","4",""
"Microsoft To Do","提醒","交房租 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2023-03-28T07:00:00+0000","2023-03-28T07:00:00+0000","P0DT9H0M0S","","0","2","2022-05-22T21:34:08+0000","2024-05-22T03:29:07+0000","1649267441664","America/Los_Angeles","true","false",,,"list","5",""
"Microsoft To Do","提醒","抢座位 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2022-11-30T22:30:00+0000","2022-11-30T22:30:00+0000","","","0","2","2022-11-30T04:38:25+0000","2024-05-22T03:29:07+0000","2199023255552","America/Los_Angeles","false","false",,,"list","6",""
"Microsoft To Do","提醒","Thesis Progress Presentations [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2022-12-08T22:00:00+0000","2022-12-08T22:00:00+0000","","","0","2","2022-12-02T02:03:20+0000","2024-05-22T03:29:07+0000","2748779069440","America/Los_Angeles","false","false",,,"list","7",""
"Microsoft To Do","提醒","去办ID和更改ssn [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2023-02-01T20:00:00+0000","2023-02-01T20:00:00+0000","","","0","2","2023-01-25T02:19:39+0000","2024-05-22T03:29:07+0000","3298534883328","America/Los_Angeles","false","false",,,"list","8",""
"Microsoft To Do","提醒","写申请 [提醒.md](obsidian://open?vault=BJ's&file=%E6%8F%90%E9%86%92.md)","TEXT","ticktick","","N","2023-01-26T18:00:00+0000","2023-01-26T18:00:00+0000","","","0","2","2023-01-26T10:15:18+0000","2024-05-22T03:29:07+0000","3848290697216","America/Los_Angeles","false","false",,,"list","9",""
